Analyte Area	y	H3N2	H3N2F1	H4N2	H3N3	H4N2F1	H5N2	H3N3F1	H4N3	H3N4	H6N2	H4N3F1	H5N3	H3N4F1	H4N4	H3N5	H7N2	H4N3S1	H5N3F1	H6N3	H3N4S1	H4N4F1	H5N4	H3N5F1	H4N5	H8N2	H5N3S1	H5N4F1	H4N5F1	H5N5	H5N4S1F1	H9N2	H4N5S1F1	H5N4S1	H4N5F2	H5N5F1	H6N5	H4N6F1	H10N2	H5N6	H5N4S1F1	H5N5S1	H6N5F1	H3N6S1F1	H5N6F1	H5N5S1F1	H6N5S1	H5N6F2	H6N6F1	H7N6	H6N5S1F1	H7N6F1	H6N7F1	H7N6F2	H7N7F1	H7N6S1F1	H6N5S3	H8N7F1	H9N8F1	H10N9F1
k11_dhb_rep3_0_E9_1.xy	1	7547.197797	10659.50898	8166.127432	10306.88063	7321.289657	27243.1641	22616.72589	23750.02886	12518.93502	36014.00338	42422.23589	14251.10976	32349.93836	40055.04258	11619.76446	36752.48657	9246.368033	15731.26889	20751.61824	9951.661402	83888.65797	299010.7591	48183.46226	20154.01592	54434.1774	12578.78621	397134.3364	38334.78334	35347.39446	11340.33367	37147.12707	12581.09464	17589.13521	13098.6628	64773.56002	81809.72312	19503.25092	15915.34938	14461.23518	11340.33367	20443.88688	143786.1189	18093.50616	20786.99399	11486.83994	16889.19247	13247.90078	31847.80794	35454.71688	10737.24712	71026.14579	14027.95667	16080.39122	18982.77485	9487.537165	22391.48532	35133.95798	25528.25096	15894.59668
k11_dhb_rep4_0_E10_1.xy	1	6333.602524	9030.856581	7004.336603	8722.97842	6337.70414	23701.51394	19585.78369	20690.80002	11022.3898	32727.12223	37645.91917	12810.99307	29534.78458	35956.15491	11031.20755	33254.2137	8765.495358	14217.1003	18479.1038	9268.126541	77322.84675	274074.8226	47098.71889	18915.46076	48414.57945	11963.38078	372539.8878	37012.43795	33745.70183	11010.78029	36627.92641	11910.67784	16760.14016	12509.48093	60824.94071	75434.50505	18801.85402	15179.27912	13772.34612	11010.78029	18918.17697	127716.864	17864.91452	19132.85602	10667.31039	15182.97431	12011.38132	28197.21491	31624.86411	10048.04409	59278.31172	12509.44641	14008.03772	16210.07758	8582.696458	18974.44293	29333.51676	21032.87696	13672.0845
k12_dhb_rep1_0_L1_1.xy	1	5590.865002	11371.61435	7498.850119	6895.312292	7041.481121	34575.81091	19715.57958	12779.40495	10120.79021	31398.38603	25451.24017	11074.80161	39748.49665	17515.87845	13792.82795	27705.64799	11601.99437	10980.39092	12804.18624	10805.19903	65759.556	75673.35897	25385.24871	13138.7313	30148.50314	11840.20201	242042.2042	38366.49995	14337.95262	106392.6328	26373.05761	18482.31323	75326.49645	15090.3593	42409.37869	18867.31277	12961.72291	12105.56495	11652.90797	106392.6328	24166.04535	54124.18667	16278.09825	14980.01529	23548.88832	21369.14504	11877.76267	16667.66806	13184.43306	32514.62813	21691.12162	9128.616458	9925.281659	10319.72652	16113.10833	11280.93307	15290.48219	17677.88108	14176.41512
k12_dhb_rep2_0_L2_1.xy	1	6875.952115	13860.58477	8376.415714	8115.542802	8346.397162	48360.44155	25721.6224	16459.35845	12588.37002	48464.57316	35986.33934	14442.57949	60415.85777	24486.5507	17631.45978	42951.04005	14948.61174	13986.64017	17565.50169	13200.18893	106711.0542	120170.2264	36925.04297	16888.80097	48387.79877	15062.47866	430484.364	62564.652	19030.75807	202350.3612	41182.03118	27673.16382	132333.4641	20843.79167	72266.97589	26679.96233	17391.24116	16414.20856	14852.18352	202350.3612	36042.81285	98899.46455	22808.34464	21140.31303	39743.2664	32746.67772	16152.02885	24968.75252	18846.20358	59182.64714	38240.31782	12649.30475	14470.48324	15399.0473	26784.76559	16736.31857	23426.06093	20831.59081	15953.5555
K12_dhb_rep3_0_A9_1.xy	1	3993.351879	9941.180892	6289.724731	5116.428466	5473.154998	26766.78437	23551.47442	11528.01437	8781.390239	27064.97993	34037.30989	13610.45228	42337.30214	19802.88463	14733.56288	29445.6213	13057.78427	18413.99173	19509.38695	15230.21722	102541.7373	112539.1716	62925.77585	27599.91167	44358.32555	16834.90543	552996.0086	92891.97452	72535.97983	345080.1206	55356.22315	61236.81763	174469.6251	47299.31387	145747.6378	54347.0737	42763.44857	43704.07845	40690.69237	345080.1206	107586.1741	203225.6452	54819.61194	51951.80902	83305.33559	71167.44211	41415.09278	62795.36437	41840.55662	129661.4655	98373.04841	29259.53827	34747.73727	39275.09244	67462.87964	48610.76977	72785.90516	70206.2606	56241.74007
K12_dhb_rep4_0_A10_1.xy	1	372.8036144	1061.85836	577.8707948	525.4399279	481.7543591	3350.01681	2939.440788	1070.519656	870.1477966	3934.487878	4511.974253	1084.102907	7021.126177	2150.711717	1498.842416	4070.372275	1265.491239	2064.240861	1578.857001	1256.321238	15785.32166	13513.68339	7241.242316	2061.025702	5415.583224	1362.981941	79880.53435	10827.65049	5147.317548	46646.72854	5723.428613	5122.171723	20666.89244	3522.681508	15240.45772	4099.425658	2546.583342	2898.100432	2451.642992	46646.72854	9885.147673	22661.83451	4335.705837	3409.225203	8086.667009	5398.633372	2605.054082	4709.074547	2395.040892	13428.50444	8165.149706	1760.349893	2223.783649	2466.78809	5540.458525	2436.0574	3577.527884	2483.333832	1718.70663
k13_dhb_rep1_0_O5_1.xy	1	17682.19899	12748.60604	10956.18994	12505.51713	7320.643936	57127.46443	17292.37353	20905.86451	24586.28657	47852.30988	25250.50462	14040.6606	26625.76857	31350.18868	47350.92144	47505.24113	13324.47358	11278.68815	17863.24958	10264.03694	50146.17419	107561.523	21398.7298	65691.04765	69509.68898	12657.0245	233625.2994	29029.42315	81784.35926	70840.87225	53693.91688	17937.44532	82641.05728	17488.32096	31498.2264	33114.61619	12663.63813	30112.36124	35191.43446	70840.87225	35324.73134	61403.07292	16607.62204	15827.95013	18242.72731	25800.93677	15199.68824	16479.8016	22329.44217	28552.18244	27325.81273	10867.69945	14684.01214	11106.44361	15703.18864	13955.74826	18607.30696	18697.78921	15642.85552
k13_dhb_rep2_0_O6_1.xy	1	23926.21949	16474.29173	13488.56507	15903.39786	7819.92251	77597.88001	20513.29355	25811.74034	30552.35648	65606.98367	31714.42268	17844.25417	35325.3437	39969.07398	60366.55348	66298.88186	16607.51601	13306.89378	22684.31295	11454.33125	67445.49365	148074.8164	28190.41975	83219.98417	103961.2672	15739.91928	348098.3081	39473.20996	108154.4208	112654.9083	76430.44291	24043.86241	127321.6258	24198.20516	45613.58348	46295.8977	15358.45642	39512.87937	46807.96723	112654.9083	49527.98405	94752.90633	23145.66338	19744.86485	25418.59115	38608.37666	20099.19691	23004.54936	32442.96716	45591.67125	43842.74219	14047.83555	21930.7539	14890.41634	23049.75652	19806.65283	28288.59347	26860.2307	19696.4493
k13_dhb_rep3_0_D15_1.xy	1	14945.5284	10169.79592	9551.916736	8528.341812	5949.29513	38456.82291	18239.91673	14871.19746	15902.78433	31376.99044	22537.41131	10813.157	17774.68675	21099.68176	27331.91577	31350.84917	10802.42203	13420.85011	14342.65084	9009.872451	34895.23799	72019.35536	27151.73712	42289.55501	49956.03845	11768.31865	171792.0197	26041.6764	67114.27081	63355.70382	42231.07859	21864.43796	64581.87153	18850.0658	33155.46376	32130.41316	16881.62723	27701.33008	30966.95584	63355.70382	37066.74366	59762.4261	25178.57931	19300.97857	21779.58052	27199.77538	17530.29606	20359.12556	24594.77292	31956.19636	31732.83062	14133.43108	16898.47899	13573.15389	17990.46981	15885.92859	20916.26581	20353.10084	15782.76207
k13_dhb_rep4_0_D16_1.xy	1	14186.09218	10278.54451	9675.734767	9103.009212	5618.088557	41920.79859	19352.83792	14986.09378	19256.7009	38046.51658	26103.3388	12290.95085	24499.21175	25539.48319	36846.29743	40699.90758	11583.63869	14877.27027	17958.07262	10264.58763	47692.83318	88407.8136	32523.94446	52463.28573	67642.75623	14012.17908	225467.7667	30265.04693	73910.14786	64949.95821	50516.81882	20689.95734	72272.32421	18985.71933	35496.44419	33160.23171	15615.50757	28628.38371	32815.60065	64949.95821	36685.81663	66708.51583	24446.95868	18086.2477	20039.74526	26680.13076	16187.01752	18990.70554	23539.76011	28135.82322	32256.12297	12814.84328	16610.03117	12422.22929	15396.21264	14509.57131	19695.34511	17275.77389	12496.56115
